date,value
2024-01-01,100.50
2024-01-02,102.30
2024-01-03,98.75
2024-01-04,105.20
2024-01-05,103.90
2024-01-06,107.45
2024-01-07,106.10
2024-01-08,109.25
2024-01-09,108.00
2024-01-10,111.50
2024-01-11,110.30
2024-01-12,113.75
2024-01-13,112.40
2024-01-14,115.90
2024-01-15,114.60
2024-01-16,117.20
2024-01-17,116.05
2024-01-18,119.30
2024-01-19,118.15
2024-01-20,121.40
2024-01-21,120.25
2024-01-22,123.60
2024-01-23,122.45
2024-01-24,125.80
2024-01-25,124.70
2024-01-26,127.10
2024-01-27,126.00
2024-01-28,129.35
2024-01-29,128.20
2024-01-30,131.50
2024-01-31,130.40
2024-02-01,131.13
2024-02-02,128.64
2024-02-03,127.48
2024-02-04,126.07
2024-02-05,127.26
2024-02-06,128.16
2024-02-07,130.17
2024-02-08,128.02
2024-02-09,127.62
2024-02-10,125.22
2024-02-11,123.81
2024-02-12,123.84
2024-02-13,121.49
2024-02-14,120.03
2024-02-15,120.75
2024-02-16,120.97
2024-02-17,119.62
2024-02-18,120.05
2024-02-19,121.54
2024-02-20,119.14
2024-02-21,120.60
2024-02-22,121.56
2024-02-23,120.78
2024-02-24,119.12
2024-02-25,121.30
2024-02-26,120.51
2024-02-27,118.55
2024-02-28,116.64
2024-02-29,118.26
2024-03-01,118.75
2024-03-02,120.21
2024-03-03,121.31
2024-03-04,121.49
2024-03-05,123.79
2024-03-06,123.19
2024-03-07,123.45
2024-03-08,125.08
2024-03-09,125.67
2024-03-10,127.49
2024-03-11,127.88
2024-03-12,128.93
2024-03-13,126.59
2024-03-14,125.21
2024-03-15,124.16
2024-03-16,122.07
2024-03-17,120.77
2024-03-18,118.84
2024-03-19,117.78
2024-03-20,118.42
2024-03-21,117.78
2024-03-22,117.17
2024-03-23,115.81
2024-03-24,114.73
2024-03-25,116.73
2024-03-26,117.42
2024-03-27,117.93
2024-03-28,116.38
2024-03-29,117.45
2024-03-30,115.87
2024-03-31,115.31
2024-04-01,117.57
2024-04-02,118.23
2024-04-03,118.50
2024-04-04,119.38
2024-04-05,121.02
2024-04-06,122.36
2024-04-07,121.03
2024-04-08,118.76
2024-04-09,117.88
2024-04-10,116.78
2024-04-11,115.43
2024-04-12,117.48
2024-04-13,119.25
2024-04-14,118.37
2024-04-15,119.11
2024-04-16,118.61
2024-04-17,120.58
2024-04-18,120.38
2024-04-19,119.25
2024-04-20,118.04
2024-04-21,118.33
2024-04-22,117.21
2024-04-23,117.61
2024-04-24,119.48
2024-04-25,119.00
2024-04-26,117.66
2024-04-27,120.00
2024-04-28,120.05
2024-04-29,118.09
2024-04-30,115.95
2024-05-01,114.14
2024-05-02,114.72
2024-05-03,116.06
2024-05-04,115.70
2024-05-05,113.68
2024-05-06,113.14
2024-05-07,115.39
2024-05-08,115.52
2024-05-09,117.70
2024-05-10,119.40
2024-05-11,117.07
2024-05-12,118.10
2024-05-13,118.96
2024-05-14,119.14
2024-05-15,118.03
2024-05-16,118.70
2024-05-17,116.86
2024-05-18,116.56
2024-05-19,116.34
2024-05-20,118.45
2024-05-21,120.23
2024-05-22,119.09
2024-05-23,119.09
2024-05-24,117.56
2024-05-25,119.50
2024-05-26,121.27
2024-05-27,120.29
2024-05-28,120.96
2024-05-29,121.49
2024-05-30,119.80
2024-05-31,121.06
2024-06-01,121.25
2024-06-02,122.60
2024-06-03,122.75
2024-06-04,120.30
2024-06-05,119.45
2024-06-06,117.15
2024-06-07,119.16
2024-06-08,120.97
2024-06-09,122.57
2024-06-10,121.63
2024-06-11,119.48
2024-06-12,121.29
2024-06-13,123.46
2024-06-14,121.41
2024-06-15,121.34
2024-06-16,119.25
2024-06-17,120.49
2024-06-18,121.77
2024-06-19,119.96
2024-06-20,119.84
2024-06-21,120.08
2024-06-22,118.95
2024-06-23,120.72
2024-06-24,120.35
2024-06-25,118.96
2024-06-26,119.15
2024-06-27,120.25
2024-06-28,118.81
2024-06-29,117.92
2024-06-30,120.26
2024-07-01,120.98
2024-07-02,120.68
2024-07-03,120.76
2024-07-04,118.93
2024-07-05,117.62
2024-07-06,116.86
2024-07-07,117.27
2024-07-08,116.00
2024-07-09,114.70
2024-07-10,112.73
2024-07-11,113.32
2024-07-12,112.09
2024-07-13,113.91
2024-07-14,115.55
2024-07-15,113.57
2024-07-16,112.38
2024-07-17,113.14
2024-07-18,111.85
2024-07-19,110.20
2024-07-20,112.12
2024-07-21,112.44
2024-07-22,112.32
2024-07-23,113.60
2024-07-24,115.00
2024-07-25,113.58
2024-07-26,111.75
2024-07-27,111.44
2024-07-28,111.10
2024-07-29,110.95
2024-07-30,111.97
2024-07-31,112.75
2024-08-01,114.93
2024-08-02,113.08
2024-08-03,112.64
2024-08-04,111.92
2024-08-05,113.54
2024-08-06,112.40
2024-08-07,111.01
2024-08-08,110.78
2024-08-09,110.43
2024-08-10,109.45
2024-08-11,108.35
2024-08-12,110.18
2024-08-13,109.93
2024-08-14,111.52
2024-08-15,111.74
2024-08-16,109.73
2024-08-17,111.92
2024-08-18,113.42
2024-08-19,115.55
2024-08-20,117.52
2024-08-21,119.16
2024-08-22,117.57
2024-08-23,117.50
2024-08-24,116.15
2024-08-25,115.69
2024-08-26,113.65
2024-08-27,113.10
2024-08-28,115.30
2024-08-29,114.22
2024-08-30,115.52
2024-08-31,115.31
2024-09-01,114.95
2024-09-02,117.05
2024-09-03,119.37
2024-09-04,119.64
2024-09-05,120.69
2024-09-06,119.02
2024-09-07,118.05
2024-09-08,120.26
2024-09-09,120.64
2024-09-10,120.84
2024-09-11,122.04
2024-09-12,119.88
2024-09-13,120.28
2024-09-14,120.29
2024-09-15,121.99
2024-09-16,120.32
2024-09-17,122.54
2024-09-18,120.48
2024-09-19,118.97
2024-09-20,119.42
2024-09-21,120.26
2024-09-22,118.99
2024-09-23,117.18
2024-09-24,119.01
2024-09-25,117.80
2024-09-26,118.25
2024-09-27,118.81
2024-09-28,118.43
2024-09-29,118.83
